
 Avg. Latency per case 
 avg cn1  avg cn2  avg cn3  avg cn4  avg cn5 
  1003.2     11.0   1089.5    519.7    596.6 
  1196.2     29.8    201.0    112.1    209.9 
  1196.6   1000.9    509.7    201.1    698.0 
  1492.0    119.4   1005.0    204.8   1005.0 
  1011.0    201.9     69.1     11.7   1019.2 
   101.3    110.3    148.4     99.6    201.0 
   213.3    201.9    105.0    510.0     12.0 
   607.6    686.4    602.6    110.2   1959.5 
   519.8    146.2   1004.3   1009.6    688.9 
   505.0    149.4   1046.8    249.6    110.0 
   255.4    509.2   1005.0   1001.2    119.7 
   400.6    205.0     38.7   1001.1    110.0 
   102.1      6.0    509.5    242.9    249.4 
   200.9    695.7   1216.5   1194.4   1020.2 
   546.6     59.7    217.8     14.4    205.0 
   109.8     64.7    107.9    536.9    509.5 
     7.1     22.0    109.3   1058.0     38.4 
   500.6     24.5     12.0     52.0     24.7 
  1002.0   1498.6    675.1     69.8    504.8 
   219.9    511.6   1004.9   1488.6    980.1 
  1974.7   1010.5   1034.2    219.2    501.9 
   110.0    202.0   1492.2   1500.7    207.9 
  1175.0     59.8     51.0      6.1    109.9 
  1001.0    547.4     30.5    101.0    543.5 
   101.9    102.0    249.3    220.0    699.5 
   110.0    101.9   1034.4    288.8    505.0 
  1005.0     51.8     68.6    248.9    501.9 
  1484.0    519.5     19.7   1934.3    105.0 
   210.0   1387.7     29.8    101.8    598.9 
   200.7   1046.5    220.7   1046.9     67.5 
  1181.9     14.7    201.1     54.9   1002.0 
  1009.8   1004.9    148.1   1000.0   1019.9 
   201.1   1161.0     55.1     69.7    204.7 
   208.1    108.3     39.6   1499.6   1003.7 
   549.6    501.0    100.2    504.8   1095.5 
   547.5    688.8    508.2   1001.0   1005.9 
   596.7    218.3    219.9      3.0   1413.3 
     2.0     24.7     24.7   1019.9      7.0 
  1002.1    295.8   1010.2    398.1    216.0 
  1019.8    974.5   1001.1    194.1    296.8 
  1019.9    218.6    119.8    217.7    502.3 
    51.8    245.5    236.2    101.1    698.4 
   282.2    390.4     55.2      2.0   1019.9 
  1196.3     52.0    119.6    209.8    504.9 
  1001.0    981.5    217.5    541.9    109.4 
  1001.0     54.5    501.0   1493.8     29.8 
   596.8    500.4    115.5   1002.0   1164.1 
  1004.7   1006.0    199.8    151.0    595.2 
  1009.9    149.6     19.9   1992.1      4.0 
   200.2    520.0    692.4     39.7    249.2 
  1193.5   1002.1     14.9     21.1   1179.3 
    39.6    540.4    295.7    109.8      4.0 
   201.0   1048.9    104.8    510.0   1019.4 
   695.3    105.0    508.8    105.7     39.9 
  1001.9    105.0     20.0     22.0    102.0 
   995.1    500.2   1985.7     24.8    541.7 
    14.9     25.2    962.3     59.8    510.2 
   204.9    698.2    999.7    519.1     59.6 
   209.8     21.0    501.9     15.6     69.7 
   103.0    114.1    109.8   1096.2    698.4 
   101.0   1004.9     51.0   1194.0    209.7 
   105.0     68.3   1500.1    250.4    512.4 
   298.2    204.7    104.8    220.4   1011.9 
    25.0    202.0    502.8    100.9    547.7 
    99.4    124.3   1116.2    108.7     52.1 
   393.5     24.9    503.0      3.0     51.0 
   101.9   1048.9   1054.1    386.4    105.4 
   202.0   1988.9    218.7   1116.0    298.7 
    14.7   1005.0    252.8    148.5   1040.9 
   105.9   1019.3    101.0    509.9    298.4 
  1461.6    504.6    991.9     21.8   1002.0 
  1005.0    220.0    504.5     24.8    400.7 
  1198.8    519.6    204.9    211.2     29.6 
   148.7    501.0    597.2    101.9    297.0 
   248.5   1019.8     21.8    199.6   1049.5 
   519.7    296.7    296.2    509.5    283.0 
   991.2    204.7    501.0     11.9   1002.0 
    21.4    248.7    394.9   1047.9     30.3 
  1068.0      7.0    986.8    202.2   1054.5 
  1193.0   1198.5    249.4    298.2    245.0 
  1966.5     20.1   1496.4    502.0    107.5 
  1199.6    244.6    502.4    209.8     96.3 
   249.6    200.1    296.0      9.9    148.3 
    21.8    501.9    101.4    202.3    210.9 
   119.0    695.0   1002.8    201.0    119.3 
    15.0    202.0    512.9    505.0     65.9 
  1181.5    105.0   1045.8   1001.9    201.8 
  1097.9     10.0      9.8    549.5   1048.8 
  1009.1    686.8   1482.7    993.5    105.0 
   595.8    110.6    549.8     22.5    100.1 
    25.1    111.4     70.4    104.4      9.7 
  1479.0    209.5     59.8   1192.9     22.2 
   999.6    501.0   1019.6    501.0    205.0 
    70.1    505.0     55.0    204.9   1024.9 
   103.6   1011.8     15.1    688.1    220.0 
   504.9     54.7   1488.8   1489.9    299.9 
   149.8    204.8     30.2   1100.1   1197.1 
  1062.8     52.4    388.0    509.9     11.9 
   517.0    248.8    198.5   1121.2    546.8 
    99.1   1180.1     19.4      7.0   1082.5 
   547.7    519.4    509.9    203.9     51.9 
  1001.0     25.0    241.9    199.1      3.0 
  1002.7    283.8      7.0     50.4    120.7 
   148.8     39.6    203.7   1503.2    510.5 
   220.7      9.9    399.0    201.9    502.0 
  1004.5    507.2   1001.0    699.3    101.0 
    51.0    209.8   1004.9    988.5    500.1 
   548.2    505.0    500.3   1001.0     11.0 
   201.8   1015.1     53.3    994.1   1192.1 
  1007.4    101.0     68.8   1039.8     25.0 
   113.7    688.2    550.0    548.4    100.8 
   203.8    199.8    108.4    571.5     11.0 
    15.0    210.4    501.1    509.8   1010.0 
   201.2   1007.5    502.1    596.8   1994.6 
  1004.8    698.5    217.9     29.1   1095.1 
  1002.0    520.0    592.1     69.8    102.0 
  1098.2    577.3    248.7     52.0     20.9 
  1001.9   1001.8    596.7   1142.8     56.3 
  1005.0    204.9    504.9    550.0    219.2 
   302.7      6.9   1016.4     56.7   1001.7 
   205.0     99.9   1049.0    596.2    196.6 
   549.6    209.8   1502.8      2.9    393.2 
   200.5   1001.0   1001.0   1027.4    206.1 
    50.8   1004.7    299.5    668.6      6.9 
   511.2     21.1    195.7    510.2   1461.5 
    25.0   1169.3   1019.8    205.0    204.9 
   101.3    547.0    209.5    599.3    205.0 
   121.3   1966.9    519.6    296.0   1197.3 
   118.9    704.3   1048.7   1002.1     29.7 
    29.9    198.4    501.9      6.9    517.3 
   104.5    220.0      3.0    147.3   1042.1 
  1002.2   1005.4    290.4   1172.9    509.0 
   520.1     24.9   1019.0    105.0    290.2 
  1009.8    549.8   1002.0    527.4   1004.7 
   535.4    692.4    100.7    201.9     50.4 
   219.5     22.0     24.6   1131.4    249.5 
   220.2     68.9    699.0   1000.9    110.1 
   199.4     29.1     52.2   1000.1    216.2 
   972.0    504.9     29.3    101.9   1035.5 
    52.0    104.9   1004.9    202.0    204.7 
   391.1    547.9     21.1    501.0   1018.7 
     7.0    527.4   1001.0     30.1    200.6 
   104.9    204.9    201.9    209.5     21.0 
   500.1   1002.0      7.2    120.0   1000.1 
   202.0    202.0    678.5   1032.3    298.9 
  1000.4    395.2    219.9    559.8   1001.0 
  1020.0    537.3    108.2     54.8   1001.0 
  1100.0    504.3   1001.2    507.5    301.1 
  1490.1    501.0    550.0   1047.7    399.5 
    15.0     50.9    246.3     69.9   1003.9 
  1074.6    502.0     24.8      7.0   1099.5 
    40.1   1019.2    219.8     69.2   1098.1 
   111.0     69.5    291.3   1004.7    205.0 
   975.9    539.1    275.3    149.7    148.9 
   504.8    296.4    599.5   1100.3    994.1 
  1049.6   1000.9    510.0    217.1    500.4 
    21.0    500.2    501.9   1961.8   1001.0 
  1981.6    997.0     29.8    510.7   1193.3 
   699.1   1008.3    247.3    119.4    503.5 
  1499.2     19.6    204.9    505.5    110.8 
  1005.0     14.9   1468.2    201.0     54.8 
  1184.0    593.3    500.1   1001.9    573.0 
    54.8    294.0     24.5   1196.3   1199.2 
   219.5   1974.3   1188.2      7.0    597.6 
   944.8   1017.0    292.2   1006.9    220.7 
   249.5     14.9   1005.0   1042.6     59.2 
    59.8    211.6    202.0    149.6   1009.2 
    50.1    101.2    501.6   1028.7    549.2 
   510.0   1047.1    550.2   1002.1    509.9 
    99.2     21.0    212.8   1009.9     25.0 
   519.3   1018.8     60.4    219.8     22.0 
   536.8    293.5    519.7   1019.6    502.0 
   109.9   1099.0     54.3   1050.9    107.3 
  1001.2    109.9   1186.4    502.0   1195.0 
  1099.7    249.1    681.1    291.8    150.2 
   149.9    149.6    296.1    505.0    116.2 
  1020.0   1004.9    299.4    509.9    549.4 
   251.6    119.8    542.8   1494.1   1053.0 
   209.6   1001.8   1019.9    500.7    295.7 
   218.8   1000.2   1001.9    542.6    101.8 
   502.0     11.0   1019.7     39.9    549.3 
     6.9    202.0    598.3    505.2    511.5 
   209.5   1272.7   1994.1   1009.9   1091.1 
   101.2     51.1    209.9   1009.4   1191.7 
  1005.0    109.6    697.5     11.9    297.2 
   696.5     52.0    103.3    100.2    299.9 
   576.3   1479.9    219.8    209.6   1009.7 
    56.1     51.6    509.8   1027.9    208.5 
   149.4    503.2   1009.5    501.1    220.0 
  1045.0   1000.1     51.9   1009.6     60.0 
    68.7   1180.9    102.0   1055.6    219.3 
   995.9    505.0    597.8    200.1    109.9 
   104.9   1009.7    204.2    202.6    220.2 
   201.0     20.9   1010.0    509.0     24.9 
    56.4    107.7   1009.7    149.5   1019.4 
  1049.6    592.1    519.5    510.4    506.2 
   549.2   1196.0   1001.5    109.2    121.4 
   504.7   1498.9      6.0    296.1    109.9 
  1001.2   1002.2    509.8   1484.9     21.2 
    39.1   1099.8   1019.8   1098.7    982.7 
  1003.2    298.6    519.7    218.3    101.9 
  1002.0    220.0    198.8    504.1    249.7 
    51.0     55.8   1049.6     69.5   1164.9 
   246.9    105.0    201.1    600.0    284.3 
    22.0     14.9   1987.9   1603.0    502.9 
   218.9     10.9    679.8    500.9     71.1 
   100.2     19.8    100.9   1021.0   1984.8 
  1019.5     54.9    519.5    248.3    983.3 
   220.0    215.5    109.7    504.9    149.5 
    28.7    110.0   1049.7    990.1   1493.5 
   702.2   1005.0    135.3    391.0   1041.9 
   550.2   1058.3    696.5   1001.7     50.9 
   590.1   1500.0    205.1     22.4   1002.0 
   514.9   1012.2    500.4    509.9    201.9 
   109.5     11.5    119.7   1001.0    249.7 
  1096.9     54.5    210.0   1000.2   1132.0 
  1005.0    595.8    549.1    219.8    104.9 
   509.9    109.8    996.5   1000.7    538.6 
   552.2    119.9    297.8   1049.6    219.2 
  1002.0    589.2    505.0     14.8     51.8 
    99.3   1099.5    110.5      5.8    101.0 
   137.7    586.1      3.9     20.0    149.9 
   118.6   1498.5   1014.8     99.4   1004.9 
  1009.7   1017.0   1444.5     25.0   1494.4 
   205.0   1483.4     53.9   1080.9     51.9 
   214.2    109.6    145.7    119.7    507.7 
   501.2      6.9    702.1     50.1    501.1 
   200.3   1147.3     55.0    500.2    203.3 
    22.1     39.8     54.7   1149.8   1004.9 
  1001.9    298.6   1009.5    991.7    535.3 
    22.0    150.1   1002.8    686.4   1001.9 
  1019.6    201.0   1053.4    960.3     19.8 
   549.0     12.2    693.9   1009.6    120.2 
  1489.5    209.4    549.8   1008.5   1098.8 
  1093.9    548.9    119.5    599.7    698.2 
  1028.0    501.0    219.8    508.5    218.6 
  1001.9     26.4    219.9   1009.9    108.9 
   501.0     27.5   1000.2   1191.3     11.5 
   506.8    502.7     22.0   1010.0   1958.0 
   209.0    101.0     98.9     25.0     59.2 
    51.0   1001.6   1002.8    297.5     28.8 
    30.0    107.3   1444.0    218.2    205.0 
    99.8   1003.2      3.0    548.2   1099.8 
   102.1    699.7    204.9    504.1   1130.8 
   398.8   1010.1    502.1   1054.6    500.9 
   101.0    711.5    248.2   1196.3   1198.6 
  1472.0    101.0    145.6    597.1    595.6 
  1890.5    394.9    501.9   1002.1   1002.0 
   118.1     22.0    519.9    538.3    249.2 
   249.9   1001.9     29.3    519.5   1009.9 
  1013.8   1193.0   1428.7   1052.0   1065.2 
   204.9    699.1   1000.2    295.8   1004.0 
   520.4    299.9    204.8    549.0     25.0 
   209.6     24.5    102.0    201.1     25.0 
   109.9    201.4   1009.4   1204.7    299.8 
   550.1    202.0     56.3    101.0      6.0 
   506.6    519.6     52.5    119.4   1487.6 
   209.8    202.0     29.3    504.5    520.4 
    24.7    283.5     52.0     60.1   1092.9 
   544.7    502.0   1045.5    220.0   1199.9 
   519.9     59.8   1480.4    209.9    970.2 
   203.8   1004.5   1000.5   1976.4   1001.0 
   215.6    100.6    500.9    599.8    304.7 
   295.3     58.8   1000.2     11.9    146.6 
   102.0      9.6    149.9    231.0    698.4 
   501.0   1476.6   1001.0    105.8    109.8 
   505.0   1019.8    503.0     55.3   1948.4 
   200.0   1186.5    520.3    509.9    505.9 
   562.9   1047.2    518.0    505.9    573.7 
  1001.0    105.0   1018.5    105.0     29.2 
   576.5    511.1    249.8    200.2    201.0 
   510.3    207.5    288.4     39.9   1180.3 
   300.5   1019.7   1498.1   1001.9   1001.6 
   149.3    201.0   1904.2   1142.3    119.7 
   238.3      2.9    551.8   1004.6   1838.8 
   101.0     69.4    597.8     51.0   1475.5 
   249.6    501.7    515.3    201.0    506.6 
   501.5     19.9    505.2     59.2    211.4 
   119.7    976.2   1180.3    595.2    251.7 
   541.4    105.1   1911.2    503.9   1198.7 
   501.0     10.0    518.4    197.5    202.2 
    20.3    504.8    105.1   1000.3   1045.2 
   149.3   1047.1   1004.5   1010.2    692.7 
   119.6    118.4   1199.3    682.7     20.1 
   501.0    519.7   1499.9   1098.9   1117.1 
   205.6    500.6    101.5    509.4   1489.3 
    69.4   1097.4   1099.9    409.1   1008.7 
   300.0   1000.9   1004.9     54.9   1015.1 
   248.9    299.8   1019.3    538.8   1459.1 
   500.9    247.6     54.8   1020.2     59.3 
  1002.8   1000.6     28.3     39.8    242.1 
  1000.0    275.7    501.9    993.9    219.3 
   509.0    209.8    251.1    212.0     19.8 
    23.3    693.5    591.6    200.1     21.5 
   109.5   1020.1     29.8     20.6   1086.8 
   697.5     59.9     22.4     11.0    519.2 
   290.9    203.1    209.6    220.0    561.4 
   501.0   1194.0   1027.2    597.7   1002.4 
  1499.1     60.0     59.5   1050.2    298.7 
    24.7    999.7     11.4     11.0     69.0 
    40.1   1005.0    550.0   1000.4    548.1 
    11.9    247.6    201.8    109.9    407.6 
   148.3    216.2   1447.3    201.3    297.8 
   210.0    502.2   1015.0   1044.3    220.8 
    29.8   1095.8    101.0   1017.8     60.1 
   201.0    119.4    118.9    146.5      3.0 
    14.7     69.3    202.9   1993.0      2.0 
   990.6    219.4    598.4    208.4    146.7 
   696.8   1010.0    153.9   1049.8   1098.8 
   210.2   1184.4     59.2     21.0    101.0 
    55.0     10.0   1085.9    201.2   1010.0 
   149.7   1091.4    201.7    501.9     39.6 
  1191.6     51.9   1001.0      7.0    119.8 
     6.0     22.0    219.4    109.8      6.0 
     7.1     18.6    515.3    200.2    516.8 
