
 Indiv Chain Sum of Exe. 
  chain 1  chain 2  chain 3  chain 4  chain 5 
     0.9      6.1      2.3     12.4      4.4 
     1.5      6.4      5.4     14.4     39.0 
     0.7      5.1     19.0     32.1     18.4 
     1.2      8.6      3.0      9.2     28.8 
     5.1     60.0      1.0      0.9     28.3 
     6.0      0.2      0.6      5.9     50.0 
    13.1      6.4      0.8     11.0     21.4 
     0.7      5.0     54.8     13.2      0.2 
     3.5     52.3      4.4      0.1     14.6 
     3.0      7.2      6.1      6.9     69.0 
     0.3      0.2      4.6     16.8      7.5 
    17.2     20.2      0.3      0.4      3.1 
    12.4     91.7     23.3      1.0      0.3 
     1.3      1.0      9.6      2.9     50.3 
     0.5     26.0     53.5      0.6      4.2 
     2.3     12.1      8.6      1.7     11.8 
     1.4      1.6     41.0      0.9      0.6 
     3.2     19.1     25.5      0.7      1.4 
     0.1     34.8      1.1      2.6      4.7 
     0.8      2.5      2.4     96.2     10.9 
     0.2      3.0      6.5      1.6      5.3 
    71.0     20.0     15.3     10.7      5.4 
    19.6      0.1      1.1     11.9      2.3 
     1.7     64.1      4.0      9.2     10.7 
     0.8      5.6      1.1     66.4      6.8 
     4.0     62.8      7.2      3.3      0.2 
    32.5      1.5      5.3      0.1     16.8 
     1.7     14.7      0.8      4.1      8.1 
     3.0     18.7      1.5      6.1      7.9 
     1.8      0.8      6.6     41.0     13.3 
    28.6      0.5      9.2     34.0      2.0 
     0.8      0.2      9.8     13.4      3.5 
     2.0     15.3      7.6      0.6     31.5 
     0.1      0.5      0.7     40.6     10.2 
     3.5     19.4      0.2     15.6      5.7 
     3.2      6.5      0.4     23.1      0.3 
     1.7      1.1      0.2      1.6      0.8 
    13.5      0.5      0.8      7.3     47.3 
    51.4      3.9      1.1      0.7     25.7 
    12.7      0.6      0.3     27.9     37.5 
     3.6      2.5      0.2     12.4      3.1 
    10.6     10.4      6.7      0.6      1.8 
     7.1      0.1      5.2      2.9      0.1 
    13.6      8.9      6.1      0.1     10.7 
     1.4     19.2      9.1      3.3     10.4 
     0.1      2.5      1.3      8.3      4.4 
    10.4      0.0     28.3     17.4      1.5 
    15.7      1.0      2.7      3.9      5.4 
     7.3      0.4     11.0     10.0      0.5 
     3.2     42.6      0.1     17.7     18.9 
     5.4      1.8      5.0      7.4     28.5 
    27.3     26.8      0.3     10.0      3.2 
     1.9      6.6     16.6      8.9     19.0 
    32.1     24.4      2.9      0.4      1.5 
     3.2      4.6      1.8      0.6     29.3 
   133.1      4.1      2.3      1.2     11.6 
     1.8      1.8      0.3     13.8      6.8 
     2.0      2.6      4.5      7.3      0.2 
     1.5      6.5      6.2     21.2      0.2 
     7.6      1.0      5.4      0.0     38.2 
     0.6      0.5      5.3     14.3      0.7 
    25.9     17.9      1.8      5.0      9.1 
    13.3      7.7     40.4     21.3      2.3 
    38.0     15.1      0.1      1.8     30.6 
    47.0     29.4      7.5     33.0      0.5 
     0.4     30.5      0.7     38.9      6.1 
     0.3      1.3      2.3      1.1      1.6 
    19.4      3.5      3.0     45.7      3.1 
    15.0      0.6      0.3      5.1      3.6 
    46.8     17.5      9.4     20.1      8.5 
     0.9      5.9      3.1      7.1      3.5 
     5.7      0.3      8.9     14.1     20.6 
     3.9      5.9     57.2      0.4      0.2 
     1.2     17.9      0.9     24.8      1.1 
     4.6      2.4      0.4     51.2     73.8 
     1.2     18.3      4.4      1.1     12.6 
    18.1     52.2      8.0     35.9     18.8 
     0.5      3.5      8.4      9.3     10.0 
     5.3      1.2      1.4      1.6      6.5 
     1.9     21.0      2.1      0.4     30.6 
     2.7      8.7     15.4      0.5      2.9 
    13.0      0.5      2.5      2.4      1.0 
     1.1      9.8      1.5      4.9     35.5 
     0.3      0.3      0.8      3.8      0.7 
     3.5      0.4      4.7     12.3      2.7 
     6.8      4.8     34.1      3.6     77.0 
    52.6      1.4      0.0     22.1      0.6 
    37.5      0.8      1.0     49.1      7.5 
     2.3      1.9    103.8      6.1      4.7 
    24.7      8.0     58.2     52.9      1.6 
     0.6     22.1     22.4      2.6      0.7 
    10.2      1.0     37.1      2.1     14.3 
     9.8      3.4     41.1     11.3      4.4 
    15.2      0.5      0.4      8.9      0.1 
     0.2      0.9      2.5      4.1      5.1 
     3.0     50.2      0.4     13.4      1.7 
     2.2      5.5     12.9     46.2     14.5 
     2.5      4.5      4.1      8.2     24.1 
    34.7      2.3     23.8     65.9      8.3 
     2.9      6.0      2.1      8.6      3.4 
     0.4      2.6      3.1      8.5      6.2 
     2.9      0.7      1.0      3.0      5.5 
    32.3      9.4     43.1      5.1      1.0 
    16.0      0.1     14.7      0.4      1.5 
     1.1      0.8     24.8      1.4      1.2 
     3.2      5.8     27.2     10.7     13.0 
     0.2      0.2      1.6      7.5      7.1 
     5.5     11.5      1.3      2.5     16.2 
    19.9      2.5      0.6      0.3      2.5 
    11.4      1.6      8.5      0.4     10.9 
    23.2      0.0      3.2     36.9     11.6 
    11.6     21.9      6.2     11.3      1.3 
    42.1      5.6      2.6      0.1     14.4 
    25.5      4.0      0.5      1.5      7.2 
     6.5      4.5      3.5      0.3      0.6 
     6.9      1.6      0.9      6.4      9.5 
     6.5      2.1      1.0      1.5     49.4 
     0.3      0.2      1.2      0.1      5.3 
     1.1     17.2      0.1     71.7      3.0 
     0.1      5.1     24.4      5.2      6.5 
     0.7     37.5     40.2     21.7      4.0 
     2.9      7.9      4.1     20.9     23.1 
     2.2      1.5      4.4      1.5     29.0 
     3.2      0.3      0.7      0.7      5.9 
     1.0      1.3      0.2      0.3      5.3 
    17.0      0.5      6.3      1.7      1.4 
     6.2      1.4     54.1      3.5     13.3 
     5.2      2.2      1.7      0.6      3.4 
    55.6     60.0      3.5      5.2      4.4 
     4.8      9.4      1.1     11.3     31.5 
    18.5      0.4     18.2      3.4     25.0 
     4.8      9.7     34.1      6.3      2.0 
     2.9      1.0     16.9      2.6     16.7 
    47.4      0.0     13.9      6.0      3.8 
     3.8      2.1     17.3     11.2      0.1 
     1.6      3.9     21.4      6.6     12.7 
     3.5      5.9     57.9      6.8     12.8 
    14.2      0.9     16.8     21.8      3.5 
    10.6      0.5      4.0     12.9      7.4 
     3.8      0.6      8.3      9.2      1.6 
     4.2      1.1     12.0      4.8      6.2 
     6.0     10.8     12.2      1.8     13.6 
     2.6      0.2      1.4      1.3      0.1 
    11.8      3.6      5.1      9.9      0.7 
    12.0     69.2      4.0      1.1      0.9 
     1.0      4.0      3.3      1.9      2.0 
     6.5      0.1      1.9      0.4      0.7 
     7.5      1.0      2.9     14.3      0.6 
    22.6      0.2      0.4     14.8      0.4 
    19.7      3.1      6.1      2.1      3.1 
     0.7      1.9      7.1      1.1      9.1 
     0.2      7.9      0.1      0.2     13.0 
    14.6      0.3      1.0      2.1     11.6 
    12.2      0.1      3.9      3.0      2.5 
     2.6     43.0      0.1     23.2      2.4 
    70.4      1.5      2.5     11.3      1.0 
     1.4     11.5      5.8     17.8      1.7 
    45.9      5.0      5.2      5.9      1.6 
     0.7     17.6     11.8      2.8     15.3 
     1.2     15.8      1.3      8.2      3.2 
     0.8      5.5     17.8      0.8     14.6 
     1.7      6.3      0.4     44.8      8.4 
    13.0      5.3      9.0      0.7     37.5 
     9.5      0.5     22.8      3.1      3.0 
     4.1      8.4      7.8      0.5      6.0 
     1.9     22.9      1.3      0.5      5.7 
     0.6      2.7      0.7      2.7      5.0 
     6.7      4.3      0.6      0.1      8.5 
     0.9      3.8      0.2     11.1      5.0 
     0.4      1.7      5.4    121.1      1.1 
     0.6     21.2     36.8      4.8      0.5 
     2.6      0.1     19.0     48.1      2.2 
     1.1      2.0     30.9     26.7     15.5 
     0.2      7.0     33.6      0.9      0.2 
    16.4      2.6      5.3      1.4      0.1 
     3.8      2.3     66.9      5.8      3.4 
     1.8      1.8     37.3     31.2      0.9 
    11.5      9.6      0.1      6.6     19.9 
     2.1     32.1     10.9     12.3     45.9 
     1.5     37.7      0.1     23.7      5.4 
    39.4     23.0      0.9     16.3      3.9 
     8.3     21.1      6.0     28.7      2.1 
    16.5      0.5     73.9      6.5     61.3 
     1.5     31.9     10.2      9.2     17.6 
     1.9     16.3     14.5      5.7      4.9 
