
 Count of not schedulable tasksets: 57 
 Mean of utilization:    0.549 
 Median of utilization:    0.547 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      19 7027.581 3513.790       11 
      20   94.259   47.130        9 
      21  177.827   88.913       21 
      22  427.438  213.719       18 
      23  190.955   95.477       33 
      24  910.487  455.244       39 
      25  199.019   99.509       34 
      26  199.807   99.903       15 
      27  219.031  109.515       16 
      28 1869.836  934.918       46 
      29  479.057  239.528        4 
      30  511.346  255.673       30 
      31  958.017  479.008        6 
      32  958.757  479.379       41 
      33  987.936  493.968        5 
      34  990.071  495.036       10 
      35  990.900  495.450       25 
      36  991.740  495.870       32 
      37  995.329  497.665       28 
      38 1958.259  979.129        7 
      39 1958.429  979.215       19 
      40 9710.300 4855.150       31 
      41 9710.346 4855.173       23 
      42 9710.373 4855.187       44 
      43 9710.410 4855.205       35 
      44 9710.428 4855.214       36 
      45 9710.449 4855.225       38 
      46 9710.474 4855.237       37 
      47 9710.496 4855.248       12 
      48 9710.511 4855.256       17 

Min. utilization: 0.621 
       1    2.297    0.297       21 
       2    3.297    1.297       10 
       3    3.564    1.564       28 
       4    3.644    1.644       11 
       5   62.944   31.472        3 
       6   19.802    9.802        1 
       7   21.935   10.968       22 
       8  179.910   89.955        7 
       9 3823.576 1823.576       25 
      10   39.904   19.904       20 
      11   83.216   41.608       32 
      12   85.948   42.974       19 
      13   86.751   43.376        6 
      14   87.442   43.721       24 
      15   89.747   44.873       18 
      16   90.682   45.341       34 
      17 4030.572 2015.286       26 
      18  210.634  105.317        5 
      19  210.828  105.414       17 
      20  211.400  105.700       23 
      21  211.972  105.986        9 
      22  214.030  107.015       29 
      23 4095.797 2047.899       14 
      24  215.323  107.661       13 
      25  217.475  108.738       33 
      26  834.194  417.097       31 
      27  427.645  213.822        8 
      28  427.953  213.976       12 
      29  835.128  417.564       15 
      30 4129.456 2064.728       27 
      31 4129.477 2064.739        4 
      32 4129.501 2064.750       16 
      33 4129.529 2064.764        2 
      34 4129.541 2064.770       30 

Min. utilization: 0.586 
       1 1001.180    0.180        4 
       2    3.180    1.180       13 
       3  209.138  104.569       10 
       4   30.943   10.943        5 
       5   31.347   11.347       17 
       6   31.869   11.869        6 
       7   32.315   12.315        8 
       8  235.202  115.202       14 
       9   65.190   25.190        2 
      10   65.226   25.226        1 
      11   65.917   25.917       15 
      12  161.760   61.760        7 
      13  161.781   61.781       18 
      14  318.669  118.669        3 
      15  318.939  118.939       12 
      16 3185.096 1185.096        9 
      17 3185.100 1185.100       16 
      18 3185.104 1185.104       11 

Min. utilization: 0.540 
       1    2.097    0.097       38 
       2    3.097    1.097        6 
       3    3.234    1.234       41 
       4   14.486    6.486       39 
       5    7.551    3.551       35 
       6 3262.373 1631.187       11 
       7    6.664    3.332       23 
       8   10.807    5.404        5 
       9   13.139    6.569       13 
      10 4567.060 2283.530       31 
      11   53.770   26.885       19 
      12   15.653    7.826        2 
      13   38.559   19.280        1 
      14   77.978   38.989       30 
      15  775.982  387.991       29 
      16   62.440   31.220        3 
      17  118.473   59.237       25 
      18  119.878   59.939       17 
      19  135.477   67.738       26 
      20  239.334  119.667       32 
      21 11751.349 5875.674       12 
      22  270.686  135.343       16 
      23 12351.660 6175.830       34 
      24  295.343  147.672       21 
      25  311.704  155.852       28 
      26  711.655  355.828        7 
      27  717.863  358.931       18 
      28  719.863  359.931       33 
      29  751.522  375.761       36 
      30  751.647  375.823       37 
      31 14190.665 7095.332       27 
      32 1469.678  734.839       24 
      33 1478.411  739.206       22 
      34 1479.359  739.680        8 
      35 1515.568  757.784       42 
      36 1549.985  774.993        9 
      37 1559.338  779.669       10 
      38 1583.053  791.526       15 
      39 15518.111 7759.056       20 
      40 15518.156 7759.078       40 
      41 15518.191 7759.095        4 
      42 15518.209 7759.105       14 

Min. utilization: 0.335 
       1   40.509    0.509        8 
       2    6.509    2.509       20 
       3    6.615    2.615       25 
       4    6.688    2.688        1 
       5   16.028    6.028       30 
       6   16.319    6.319       21 
       7   32.779   12.779       28 
       8   65.529   25.529       13 
       9   35.123   15.123       12 
      10   35.743   15.743        4 
      11  141.653   70.826        5 
      12   37.595   17.595       31 
      13   37.924   17.924       23 
      14  353.092  153.092       18 
      15   38.999   18.999        6 
      16   74.542   34.542       29 
      17   74.846   34.846       19 
      18   75.266   35.266       22 
      19   75.747   35.747       11 
      20  369.712  169.712       16 
      21  190.805   90.805        3 
      22  371.732  171.732       10 
      23  372.468  172.468        7 
      24  372.777  172.777       26 
      25  372.829  172.829       32 
      26  373.018  173.018       24 
      27 3331.068 1665.534       17 
      28  737.769  337.769        9 
      29  737.784  337.784       27 
      30  737.791  337.791        2 
      31  737.796  337.796       15 
      32 3665.766 1665.766       14 
      33 3665.770 1665.770       33 

Min. utilization: 0.559 
       1    2.334    0.334        5 
       2    5.668    2.668        3 
       3    7.542    3.542        9 
       4    7.645    3.645       24 
       5   63.592   31.796       12 
       6  359.957  159.957        7 
       7   18.988    8.988       16 
       8   21.829   10.915       21 
       9   26.094   13.047       27 
      10   50.964   25.482       13 
      11   31.563   15.782       20 
      12   59.141   29.570       18 
      13   67.787   33.893        6 
      14   69.007   34.504       23 
      15  119.280   59.640        2 
      16  137.382   68.691       19 
      17  137.972   68.986        1 
      18  139.057   69.529       22 
      19  139.789   69.894       26 
      20  139.932   69.966       30 
      21  147.075   73.537       29 
      22  335.865  167.932       14 
      23  337.972  168.986       17 
      24  338.125  169.063       25 
      25  338.279  169.140       28 
      26  338.433  169.217        4 
      27  338.541  169.270        8 
      28  659.534  329.767       11 
      29  670.834  335.417       15 
      30  674.606  337.303       10 

Min. utilization: 0.495 
       1    4.075    0.075       21 
       2   15.150    5.150       16 
       3   45.620   22.810       18 
       4 3129.133 1129.133       38 
       5    7.297    3.297       13 
       6    7.306    3.306       10 
       7    7.380    3.380       27 
       8   16.685    6.685       24 
       9  146.368   73.184       29 
      10   35.147   17.574       41 
      11   28.959   14.480        1 
      12 4309.625 2154.812        6 
      13  438.802  219.401       17 
      14  106.322   53.161       19 
      15   58.182   29.091       31 
      16   73.650   36.825        7 
      17   74.566   37.283       28 
      18   75.710   37.855       20 
      19  291.727  145.863       33 
      20 5417.919 2708.959       22 
      21  138.405   69.202       15 
      22  139.016   69.508       14 
      23  147.061   73.531        4 
      24  147.904   73.952       36 
      25  148.626   74.313       39 
      26  154.886   77.443       32 
      27  154.950   77.475       40 
      28 6146.215 3073.108        2 
      29  349.547  174.774       26 
      30  349.632  174.816       35 
      31  639.697  319.849        5 
      32  654.383  327.191       34 
      33  654.486  327.243        9 
      34  654.691  327.345       25 
      35 6236.947 3118.473       11 
      36 6236.959 3118.479       30 
      37 6236.974 3118.487        3 
      38 6236.986 3118.493        8 
      39 6237.005 3118.502       12 
      40 6237.017 3118.508       37 
      41 6237.026 3118.513       23 

Min. utilization: 0.652 
       1    2.217    0.217       12 
       2    3.217    1.217        3 
       3    3.498    1.498        7 
       4    3.713    1.713       11 
       5    3.789    1.789        9 
       6  189.393   89.393       21 
       7    6.473    3.236        8 
       8   10.362    5.181        2 
       9   10.541    5.270       14 
      10  383.037  191.519       23 
      11   42.325   21.163        6 
      12 4034.694 2017.347       20 
      13   46.513   23.256       17 
      14   90.811   45.406       15 
      15   94.035   47.018       19 
      16   95.197   47.598       18 
      17   98.103   49.051        4 
      18  230.226  115.113       10 
      19  459.386  229.693       16 
      20  462.686  231.343       13 
      21  463.258  231.629        1 
      22 4546.884 2273.442       22 
