
 Count of not schedulable tasksets: 38 
 Mean of utilization:    0.486 
 Median of utilization:    0.489 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      20  199.226   99.226       21 
      21  199.431   99.431       34 
      22 3899.875 1949.938       28 
      23 3951.402 1951.402       27 
      24  199.996   99.996        4 
      25  397.504  197.504        9 
      26 3906.813 1953.406       22 
      27  397.629  197.629       35 
      28  794.678  394.678       24 
      29  794.701  394.701        6 
      30  794.724  394.724       30 
      31  794.747  394.747       31 
      32  794.765  394.765       17 
      33 3955.714 1955.714       14 
      34 3955.718 1955.718       13 
      35 3955.723 1955.723       18 

Min. utilization: 0.417 
       1    2.138    0.138        5 
       2    3.138    1.138        7 
       3   31.661   11.661        8 
       4  264.608  132.304       22 
       5  137.028   68.514       17 
       6   59.854   29.854       24 
       7 2767.991 1383.996       13 
       8   71.514   31.514        6 
       9   37.806   17.806       25 
      10   38.629   18.629       11 
      11   38.700   18.700       26 
      12   74.944   34.944       20 
      13   75.022   35.022       16 
      14   75.418   35.418       23 
      15   75.684   35.684        3 
      16  187.058   87.058       12 
      17   76.430   36.430        4 
      18   76.747   36.747        2 
      19   77.372   37.372       18 
      20   77.924   37.924       14 
      21   78.424   38.424       10 
      22  194.448   94.448        9 
      23  194.537   94.537       15 
      24  194.627   94.627       19 
      25  194.716   94.716        1 
      26  194.835   94.835       27 
      27  379.418  179.418       28 
      28 3752.578 1752.578       21 
      29 3752.581 1752.581       29 

Min. utilization: 0.573 
       1    2.204    0.204        8 
       2 3113.845 1113.845       21 
       3    3.242    1.242       29 
       4  162.864   62.864       16 
       5    7.130    3.130       31 
       6   67.165   27.165       23 
       7  168.762   68.762       19 
       8    9.555    4.778       24 
       9    9.915    4.958        6 
      10   70.928   30.928        7 
      11   37.122   17.122       25 
      12   37.705   17.705       18 
      13   38.770   18.770        4 
      14   39.475   19.475       14 
      15   77.390   37.390       12 
      16   77.550   37.550       11 
      17   77.631   37.631       10 
      18  193.731   93.731       30 
      19  193.825   93.825        1 
      20  385.536  185.536       17 
      21  385.760  185.760       20 
      22  386.454  186.454       27 
      23  386.758  186.758        9 
      24  386.888  186.888       13 
      25  386.986  186.986       15 
      26  770.742  370.742        2 
      27  770.771  370.771        5 
      28  770.800  370.800       22 
      29  770.828  370.828       26 
      30 3834.657 1834.657        3 
      31 3834.661 1834.661       28 

Min. utilization: 0.319 
       1   40.485    0.485       25 
       2   30.485   10.485        6 
       3  210.325  105.162        9 
       4   62.140   22.140        8 
       5    5.214    2.607       15 
       6    5.596    2.798       17 
       7    6.419    3.209       29 
       8   22.161   11.081       28 
       9   23.552   11.776       35 
      10  198.911   99.456       33 
      11   27.680   13.840        3 
      12   30.402   15.201       27 
      13  467.819  233.909        4 
      14   55.555   27.777       24 
      15   34.408   17.204       32 
      16 4790.840 2395.420       31 
      17   58.936   29.468       34 
      18   59.588   29.794       20 
      19   59.964   29.982       21 
      20   66.272   33.136       30 
      21  531.448  265.724       10 
      22  118.455   59.228       37 
      23  547.379  273.689        7 
      24  131.188   65.594       38 
      25  586.711  293.355       22 
      26  299.735  149.867       13 
      27  306.777  153.389       16 
      28  307.267  153.634        5 
      29  593.762  296.881       26 
      30 5786.798 2893.399       14 
      31  595.548  297.774       36 
      32  598.297  299.149       19 
      33  599.682  299.841       12 
      34  613.941  306.970        2 
      35 5871.603 2935.802       39 
      36 5874.700 2937.350       11 
      37 5874.720 2937.360       18 
      38 5874.747 2937.374        1 
      39 5874.770 2937.385       23 

Min. utilization: 0.292 
       1    2.268    0.268        2 
       2    3.268    1.268        8 
       3    3.465    1.465       14 
       4  349.704  149.704        9 
       5 3005.372 1502.686       19 
       6  351.824  151.824       24 
       7   11.589    5.794       12 
       8   22.224   11.112        5 
       9   23.636   11.818       10 
      10   26.594   13.297       25 
      11   47.191   23.596       17 
      12 4169.562 2084.781       23 
      13  430.258  215.129       22 
      14   58.369   29.185       26 
      15  469.998  234.999        6 
      16 4595.294 2297.647        4 
      17  114.134   57.067       21 
      18  479.859  239.929       11 
      19  115.178   57.589        1 
      20  117.437   58.718       15 
      21  117.743   58.871       16 
      22  118.821   59.411       30 
      23  130.011   65.005        3 
      24  519.445  259.722       20 
      25 4994.274 2497.137       28 
      26 4994.297 2497.148       29 
      27 4994.313 2497.157       27 
      28 4994.324 2497.162        7 
      29 4994.334 2497.167       13 
      30 4994.342 2497.171       18 

Min. utilization: 0.450 
       1    2.363    0.363       13 
       2    3.363    1.363       27 
       3  179.013   79.013        9 
       4    9.664    4.832       11 
       5   39.795   19.897       21 
       6   87.183   43.592       10 
       7   14.605    7.302       25 
       8   15.031    7.515       19 
       9   15.463    7.732       23 
      10   15.896    7.948       24 
      11   19.183    9.591       22 
      12   62.907   31.454       14 
      13  127.315   63.657        6 
      14   86.309   43.154        8 
      15  179.697   89.848        7 
      16  190.315   95.157        2 
      17  894.959  447.480        3 
      18 8831.960 4415.980        5 
      19  198.532   99.266        1 
      20  215.149  107.575       26 
      21  511.036  255.518        4 
      22  515.908  257.954       18 
      23  519.120  259.560       20 
      24 1031.853  515.927       17 
      25 1062.318  531.159       28 
      26 1071.386  535.693       12 
      27 1071.790  535.895       16 
      28 1078.019  539.009       15 

Min. utilization: 0.430 
       1    2.033    0.033       18 
       2   60.365   20.365       22 
       3 3038.314 1038.314       20 
       4    6.912    2.912       27 
       5  311.853  111.853       10 
       6   63.384   23.384       21 
       7  318.245  118.245       19 
       8   11.982    5.991        1 
       9   12.778    6.389       25 
      10   20.773   10.387        9 
      11   22.117   11.059       11 
      12   23.688   11.844       12 
      13   26.547   13.274        7 
      14  186.305   86.305       24 
      15  335.079  167.540       32 
      16  174.939   87.469        4 
      17   47.072   23.536        5 
      18 3417.863 1708.931       13 
      19   50.132   25.066       15 
      20   93.186   46.593       14 
      21   95.575   47.787       26 
      22 3839.830 1919.915       17 
      23   98.903   49.451        3 
      24  211.485  105.743       16 
      25  213.186  106.593       29 
      26  214.821  107.411        2 
      27 3956.840 1978.420       31 
      28  399.888  199.888       23 
      29  399.928  199.928       28 
      30 3985.482 1985.482        6 
      31 3985.489 1985.489       30 
      32 3985.494 1985.494        8 

Min. utilization: 0.578 
       1    2.198    0.198        9 
       2    3.198    1.198       18 
       3    3.232    1.232        4 
       4  277.138  127.138       28 
       5    5.337    2.669       25 
       6 2602.833 1301.416       11 
       7   15.719    7.860       26 
       8   58.899   29.450        1 
       9    7.848    3.924       16 
      10  185.821   85.821       17 
      11   23.151   11.576        8 
      12  377.237  177.237       27 
      13   26.523   13.261       30 
      14  362.999  181.499       15 
      15 3804.912 1804.912       13 
      16   81.978   40.989        2 
      17 3714.059 1857.030       23 
      18   87.128   43.564       21 
      19 3775.875 1887.937       12 
      20   90.099   45.049       19 
      21   90.566   45.283       24 
      22  390.343  195.172        5 
      23  397.220  197.220       14 
      24  397.530  197.530       20 
      25  397.700  197.700        3 
      26  398.978  198.978        6 
      27 3945.855 1945.855        7 
      28 3945.858 1945.858       22 
      29 3945.861 1945.861       10 
      30 3945.864 1945.864       29 

Min. utilization: 0.514 
       1    2.225    0.225       10 
       2  156.517   56.517       21 
       3    3.662    1.662       12 
       4    3.822    1.822       13 
       5  265.593  132.796       17 
       6   67.274   27.274       20 
       7   17.707    7.707       14 
       8  279.655  139.828       23 
       9   35.634   15.634        4 
      10  585.891  292.946       11 
      11   71.931   31.931        6 
      12   72.746   32.746       16 
      13   72.925   32.925       19 
      14   73.028   33.028        7 
      15  177.117   77.117       18 
      16  177.353   77.353        3 
      17  309.204  154.602       15 
      18  355.167  155.167        5 
      19  355.272  155.272        8 
      20  709.322  309.322       22 
      21 3530.809 1530.809        2 
      22 3530.813 1530.813        9 
      23 3530.817 1530.817       24 
      24 3530.822 1530.822        1 

Min. utilization: 0.462 
       1    2.044    0.044        3 
       2   15.133    5.133        7 
       3  214.846  104.846        5 
       4   31.455   11.455       25 
       5   32.247   12.247       23 
       6   32.848   12.848        2 
       7   33.439   13.439       12 
       8 2368.395 1184.198       11 
       9  125.230   62.615        6 
      10   67.341   27.341        1 
      11   67.502   27.502       18 
      12   67.802   27.802       13 
      13   67.970   27.970       10 
      14  327.295  127.295        8 
      15  327.431  127.431       15 
      16  327.660  127.660       27 
      17  327.903  127.903        4 
      18  327.966  127.966       14 
      19  651.042  251.042       20 
      20  651.052  251.052       28 
      21 3235.351 1235.351       21 
      22 3235.365 1235.365       24 
      23 3235.370 1235.370       19 
      24 3235.376 1235.376       22 
      25 3235.380 1235.380       16 
      26 3235.384 1235.384       17 
      27 3235.388 1235.388        9 
      28 3235.392 1235.392       26 

Min. utilization: 0.355 
       1  200.349    0.349        5 
       2    3.349    1.349       26 
       3    6.467    2.467       24 
       4    6.606    2.606       23 
       5    6.713    2.713        9 
       6   23.808   11.808       16 
       7    7.277    3.277       10 
       8  242.868  121.434       27 
       9   51.080   25.540       25 
      10   18.578    8.578        8 
      11   34.618   14.618       22 
      12  331.593  131.593       20 
      13   35.627   15.627        6 
      14   36.501   16.501       29 
      15  174.194   74.194        2 
      16   72.819   32.819       31 
      17   73.025   33.025       21 
      18   73.130   33.130       15 
      19 2918.986 1459.493       19 
      20  176.796   76.796       14 
      21  176.850   76.850        1 
      22  349.184  149.184        4 
      23  349.257  149.257       12 
      24  349.429  149.429       11 
      25  349.660  149.660       18 
      26 3469.239 1469.239       13 
      27 3469.244 1469.244       28 
      28 3469.249 1469.249       17 
      29 3469.253 1469.253        3 
      30 3469.256 1469.256       30 
      31 3469.260 1469.260        7 

Min. utilization: 0.507 
       1    2.227    0.227        3 
       2    3.227    1.227       19 
       3    3.386    1.386       46 
       4    3.575    1.575       38 
       5  359.533  159.533       37 
       6    7.845    3.845       49 
       7  354.598  177.299       43 
       8    6.847    3.423       33 
       9   11.342    5.671       36 
      10   11.411    5.705       30 
      11   11.938    5.969       32 
      12   14.130    7.065       45 
      13  485.987  242.994       29 
      14  102.233   51.116       14 
      15  261.833  130.917       22 
      16  110.398   55.199       16 
      17   62.514   31.257       13 
      18  547.288  273.644       24 
      19   67.036   33.518       11 
      20   70.594   35.297       47 
      21   71.424   35.712       39 
      22   78.832   39.416       42 
      23   95.905   47.952        8 
      24  111.785   55.893        4 
      25  143.942   71.971        9 
      26  263.457  131.729        1 
      27  595.569  297.785       21 
      28  275.730  137.865       41 
      29  307.125  153.562       20 
      30 13502.791 6751.396       18 
      31  310.710  155.355       34 
      32  311.754  155.877        7 
      33  318.709  159.354       10 
      34  319.700  159.850       28 
      35  791.926  395.963       15 
      36  870.667  435.333       31 
      37  919.385  459.693       40 
      38 1907.450  953.725       48 
      39 1039.560  519.780        6 
      40 1078.415  539.207       17 
      41 1118.419  559.209       27 
      42 1187.052  593.526       44 
      43 1319.885  659.943        5 
      44 2551.490 1275.745       12 
      45 2558.261 1279.131       26 
      46 24959.290 12479.645        2 
      47 24959.329 12479.664       23 
      48 24959.368 12479.684       25 
      49 24959.407 12479.703       35 

Min. utilization: 0.577 
       1   10.364    0.364        1 
       2   15.364    5.364        4 
       3   52.186   22.186       12 
       4   33.186   13.186        2 
       5   34.036   14.036        6 
       6   34.495   14.495       11 
       7   67.025   27.025        8 
       8   67.157   27.157       10 
       9  329.973  129.973        7 
      10  330.983  130.983        5 
      11  657.555  257.555        3 
      12 3278.935 1278.935        9 

Min. utilization: 0.683 
       1    4.067    0.067        6 
       2  203.732  101.732       16 
       3    6.531    2.531        4 
       4    6.613    2.613       15 
       5   15.837    5.837        3 
       6   16.058    6.058       12 
       7   16.498    6.498        9 
       8   28.408   13.408        5 
       9   17.305    7.305        2 
      10   34.434   14.434       10 
      11   35.443   15.443        1 
      12   68.414   28.414       13 
      13   68.600   28.600       14 
      14  337.118  137.118        8 
      15  337.395  137.395       11 
      16 3357.640 1357.640        7 
      17 3357.644 1357.644       18 
      18 3357.648 1357.648       19 
      19 3357.651 1357.651       17 

Min. utilization: 0.501 
       1    2.116    0.116        4 
       2    3.116    1.116       21 
       3  156.750   56.750       18 
       4   47.056   23.528       19 
       5   16.818    6.818       36 
       6  161.085   61.085       40 
       7   17.723    7.723       24 
       8   34.548   14.548        5 
       9  281.565  131.565       41 
      10  332.476  132.476       12 
      11   36.523   16.523        1 
      12 2759.391 1379.695       29 
      13  286.075  143.038       15 
      14 2791.206 1395.603        9 
      15   39.476   19.476       10 
